"text","label","pred1"
"if she kiss u with her eyes open watch that bitch lmfao",1,1
"you a woulda coulda shoulda ass hoe",1,1
"happy bday bitch ass nigga preciate that bitch roll up",1,1
"used to send that bitch up",1,1
"ugly bitches be like i m my own wcw duh bitch you ain t nobody elses",1,1
"nigga you know we hacky sack hoes nah i throw no look passes lmao",1,1
"glad i m getting outta atlanta nothing but a bunch of niggas in amp outta jail amp dumb bitches with mad kids fuckin em",1,1
"this isn t ghetto it s smart i m doing this idc",2,0
"i would wife a hoe only cuz we wouldn t care that we cheating in each other why force the relationship in the first place",1,1
"being single isn t an excuse to be a hoe",1,1
"white boy power bitch black power bitch",1,1
"lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes have no chill",1,1
"bitch where u been around the world and back where you been",1,1
"if i don t get my dick sucked at yo party by a bad bitch i m fr gone set it off by",1,1
"oomf is soooo cute but he probably has hoes on him a lot",1,1
"in every cartoon theirs alway a saving these hoes lmao lmao damn captain saveahoe",1,1
"who wants to get there nose in these bad bois then scally chav sockfetish stinking hot sox and legs",2,2
"i wish i was a bitch like my brother keezy ooooow i bet you do",1,1
"if you dressed up as a cat for halloween you are basic or a pussy",1,1
"can pornhub just get a gaming stream feature so these dumb bitches can gtfo get on it katie lt",1,1
"stop being scared to choke her during sex u bitch ass niggas she ll like it says the guy who hits women out of bed foh",1,1
"ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig",1,1
"oh man its am you off a molly ho where the fuck ya seed at fixed",1,1
"you re not a man if you refer to every girl as a bitch",1,1
"lmfao this cat started beating the shit out of me my nigga finally got some pussy my nigga",1,0
"peel up peel up bring it back up rewind back where i m from they move shaq from the line ooooow who tf said that trash",2,0
"io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha",1,0
"naw it s my old tape new cover my upcoming mixtape is kingofthehill yeah i m waiting on that hoe mayne",1,1
"ol dirty foot ass bitches this was too funny to me",1,1
"that s where i get my yellow flags for being amazing hell yeah niggy",1,0
"don t got time for bitches to be actin iffy",1,1
"ucfpinkparty come on stay alive knights nation this is still the early bird special comeatmeut",2,0
"these hoes ain t loyal no they ain t smfh amp wonder why nobody decent wants them",1,1
"bruh you studs keep thinking i m soft as hell ask ya girl how many times she screamed she was my bitch oh okay stfu bye hoe",1,1
"dry pussy bitches always blame it on the condom",1,1
"shut yo bitch ass up",1,1
"gucci mane in jail and dropping mixtapes every month and you hoes can t even text back",1,1
"you love these hoes more then money wats wrong these niggas",1,1
"a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there lol",1,1
"easy cum easy hoe that s a fact",1,1
"charlie sheen is too real major fucking respect for charlie sheen",1,0
"wish i had a bae you got all the hoes tho",1,1
"fuck twerking bitch can you cook",1,1
"bitch wtf",1,1
"shut up zoe fight me pussy for zoe i m good man you are good ma am move along now",1,0
"lmao fucking snake bitches em",1,1
"big booty hoes everywhere sheesh damn",1,1
"stay tuned to for an update on the report that b will be out weeks bum",2,0
"i play soccer cheat on girls and wear khaki coloured cargos haircut yes lmfao",2,0
"oregon chokes every year get off the field trash ass program rft",1,1
"def not cowboy lol rt terrell owens was the best eagle amp cowboy ever dude cried like a bitch on tv over romo",1,0
"lmfaoooo i hate black people this is why there s black people and niggers",0,2
"how could u do this to me bitch potent",1,0
"a pissed lad past out i would lick his dirty soles while he slept",2,2
"love frat boy w soft long soles",2,0
"sexy lad with hot soles and arches",2,0
"nah fam i gotta cheat with the hoes depends on the female i feel",1,1
"i got hicks lol",2,0
"this new twitter is confusing the shit out of me go back to south america bitch",1,0
"toto means ass or vagina i think pussy cause toto santi is like nasty pussy",1,0
"but what if he actually does choose the ugly bitch over you her ass must be fat",1,1
"bitch couldn t kill my vibe if ya tried dis why i love miley",1,0
"i m tired of bitches saying i look mean nigga you big af wear tight shirts and grim everybody",1,0
"birds your grandkids may never see thanks to climate change climate",2,0
"stay beautiful you bitch",1,1
"wutkinda r purple ceeeleee man this gurl was jus playin on the stupid hoe track but in still shitted on sum gurls",1,1
"money getting taller and bitches getting blurry",1,1
"i ain t never seen a bitch so obsessed with they nigga i m obsessed with mine",1,1
"kobe stay talking trash but let s not forget i meant to do this one smh",1,0
"at least i m not a nigger lmfao",0,2
"people always asking me what i m mixed with she a bad asian bitch lol",1,1
"ariza is a snake and a coward but at least he isn t a cripple like your hero roach lmaoo",0,1
"fosters home for imaginary trash whoa chill that show was everything tf",2,1
"i am lowkey tired if you tired be quiet and go to sleep hoe",1,0
"stop bringing weird niggers into my mentions",1,2
"we don t love these hoes",1,1
"if yo girl cant have homeboys you a ol weak bitch ass nigga",1,1
"i think worst advice i gave you was don t be a pussy and speed up lol",1,0
"quote this tweet with your favorite animal pussy",1,0
"i hate when strippers tell you they re dancers hoe ballet dancers don t pop their pussy to beethoven you a stripper",1,1
"andrewbryant poff has double vision after beers poff double pussy smh",1,0
"when bitches twerk on the computer me in ya in ya damn",1,1
"prince this is art nobody takin his bitch",1,1
"of welfare government aid is claimed by white people so y all black slander is trash now",2,0
"these bitches don t care they just play that role",1,1
"it took a while for you to find me but i was hiding in the lime tree dis bitch in da wrong tree bro",1,0
"drakes new shoes that will be released by nike jordan yes there s glitter on the shoes dudes a fag",0,1
"inna di ghetto you alone lmaoo",2,0
"hoes austin teach us austin i teach u how to get curved that s all i know",2,0
"bitches can t cook but know how to suck dick s o to the ones that can do both",1,1
"fat hoes get chose lol",1,1
"hoesaintloyal well they re hoes no one expects them to be loyal",1,1
"ol bitch ass",1,1
"bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad lmaooo",1,1
"just because tony romo at the mavs game dont mean he still not a bitch lmao fuk them cowgirls lol bitch fuck you",1,1
"holy shit freddie highmore was in charlie and the chocolate factory me rolls on the floor laughing",1,0
"i don t want to have sex with my gf because i feel like i m using her anonymous whata faggot",1,1
"one of your followers with this somebody bitch if you don t",1,1
"if ya bitch always bitching clearly she care or just an annoying bitch",1,1
"these catfish hoes thinkin they slick but niggas catching on",1,1
"can t worry about a bitch that ain t worried bout me real",1,1
"side hoes are for insecure niggas that can t handle a real one",1,1
"lmao this bitch come scooting in the tent like she about to fuck some shit up",1,1
"my cousin said he share hoes with his brothers he said sharing is caring and he love his brothers",1,0
"i m hungry but ionn wanna spend my money on food broke hoe problems",1,1
"dese hoes be lyin to all of us nigga",1,1
"oh yeah fuck that bitch",1,1
"eli manning just threw his nfl leading th interception of the season lmao trash",2,0
"usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team he s a bitch",2,1
"guess what i also have zero time for your mansplaining adios stfu pussy",1,1
"chilling sexy scally lad",2,1
"i ain t sharing no bitch if you mines you mines",1,1
"money only impress the simple broke bitches",1,1
"pisces will never be anybody s bitch they don t let people control or change them rigghhht",1,1
"tuku ho idk blah blah blah",2,0
"i m not mad cuh hahaha suure tuku ho ita",2,0
"these hoes is crazy",1,1
"you ain t ever gonna be a slice bitch kevin hart",1,1
"oomf so fuckin fine tho dam her don t be no bitch",1,1
"i wonder if the girl that gave head to boys for a drink in magaluf has twitter she probly sends nudes for fags",1,0
"newsatquestions yeah bitch yeah bitch call me a maybe b steve o c later d jesse pinkman",1,0
"hickies in between her thighs right by her pussy gt gt gt its only right",1,0
"would you still love me when i m no longer young and beautiful no ugly monkey ass",1,1
"y all come through the front bitch i ain t coming",1,0
"faggot bitch",1,1
"yea i m on my ipad i don t work this friday let s ball this faggot up i work",1,1
"this scally lad would get it",2,2
"gerryshalloweenparty halloween was yesterday stupid nigger",0,2
"chrus still supahot tho walks up to teacher with test drops test in that bitch fohead",1,1
"i love eating pussy lol i never get full lol i can eat that shit forever lol and ever",1,0
"no slushes hoes nasty anyway fam them hoes taste like meds",1,1
"no slushes hoes nasty anyway fam",1,1
"bobby bitch by be getting me live as fuck hell yea i play that hoe before my workout",1,1
"yo bitch is gucci mane rt my bitch a stoner",1,1
"i can ride your bitch with no handle bars",1,1
"and if you ain t a hoe get up out my traphoussseeeee",1,1
"sad tv character deaths we re still bitter over ned stark was the man",2,0
"these harbor bitches are all party bus hoes lol all",1,1
"pussy love it",1,0
"ultraviolence video its coming you little bitch mtvhottest lana del rey bitchy promo",1,1
"on my way to fuck your bitch lmfao kittycopter",1,1
"a smuggler explains how he helped fighters along the jihadi highway",2,1
"aww their avis look so cute together do i gotta get ike avi on this bitch",1,1
"its simple dont be a hoe dont worry about being exposed fight me why",1,1
"whys this bitch boosting herself her size isn t exactly the most healthy tho",1,1
"bet not be no bitches kim bye",1,1
"damn near gotta protect my tweets stalkers being annoying you got that dope dick drive these bitches loco",1,1
"i m making marack my girlfriend aye b you pullin hoes just like o taught you",1,1
"bruno fag boy you love me",1,1
"i must be a bitch you are sike naw this why we always beefing",1,0
"down yankees look to rally in the bottom of the th rallycap",2,1
"don t take advantage of a nice person hoes everyjuan",1,1
"happy birthday bitch nigga thanks pal",1,0
"sad knowing that most hoes won t fuck with you bc you ain t got stacks wait till friday",1,1
"cinco shit harder fucc nigga yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca",1,0
"ewww i said that last sunday as in the last sunday i was there read it again nigs",1,2
"i only punch real niggas in the face cause a pussy nigga is gonna punch me right back strong mush or shake",1,1
"my pussy still fresh lt something stank girls say",1,0
"ass slapping is one the greatest things haha i slapped a girl on the ass she got mad i aint get pussy for a week",1,0
"yeah texans are so much better you fucking retard i see that you re mad about this",1,1
"nd wtf is up with dark bitches with blonde please have several seats hoe looking like black amp milds out here",1,1
"there s a lane some bitches need to stay in the left n get right the fuck outta our face",1,1
"i hate when boys deny that they have bitches smh",1,1
"ya nigs out there still saying y all don t eat butt with a straight face",1,0
"im a boss ass bitch that needs to sit in a corner",1,1
"he s a hoe i can t",1,1
"me and paul thinkin bout gettin rentals for da weekend oooh shit bitches betta stay out da streets",1,1
"bitches hold they nigga down when he get locked up but if a nigga go to college or the military it s a different story",1,1
"why do my friends hate me because you a ratchet hoe",1,1
"no love for these fuck niggas hoes",1,1
"hot meat sexy as fuck scally lad i would love to meet him and his trainers",1,0
"sniff perved up scally lad fuck yeah",1,1
"these bitches love sosa",1,1
"i legit watched it for about or seconds so did i wtf prob cause were retarded smh",1,1
"what should i name my cat ideas mr pussy",1,0
"woof woof sexy thug boy scally",1,0
"u see the damn phone ringing when you married bitches makes demands you haven t called me",1,1
"tevin is my favorite sophomore i think he s so funny hes really not lmaoo hes a little hoe",1,1
"sex positions naw this what u call fucking the soul outta bitch",1,1
"is bored supposed to be cute you faggot sometimes",0,1
"one mans trash is another mans treasure",2,1
"i don t got no type bad bitches is the only thing i like iongotnotype",1,1
"lassen cc the coach wants me i feel it youll get more my nig no doubt",0,2
"god teeth gold chain white bitches cocaine",1,1
"its me hoe its me hoe shhhhh",1,1
"in d c we call them rollers in chiraq we call them thots all across america they have been known as a hoe",1,1
"i m gonna miss that bitch of a bus driver no you won t don t lie",1,1
"hate when bitches try and put you in the friendzone bitch i m tryin to score put me in the endzone on my soul",1,1
"ashley young has tried to deny that bird s landed in his mouth gt hahaha",2,0
"yall both gimped up ain t tht a bitch huh lol",1,1
"take me for a ride redneck woof woof",2,1
"oh my god i love victoria mitchell all my bitches love me",1,1
"that long distance shit wack i knew the bitch was cheating uh oh",1,1
"he s doing it right no bitches smh",1,1
"they ban dat pussy for life amp he gotta pay millon dollar fine",1,1
"roses are red and violets are blue and niggers are black you know that s true",1,2
"sitting on my window sill window open bird tries to fly in smacked it protecttheanimals",2,0
"but a nigga gon be a nigga be a nigga you sound fuckin retarded",1,1
"a video an entire media will likely mock i am such a crybaby",2,0
"i m not even shy stfu kikis mom hi angelique angelique smiles dips cracker in soup",1,0
"tim tebow got cut from every team he was on in the nfl and he already got more hoes than me in starkville smh",1,0
"karma is a bitch damn godprotectshisangels sips tea",1,1
"fuckin hot gym pussy fuck yeah",1,0
"jihadi patron hajjaj al ajmi is arrested at kuwait airport",2,1
"you can call me fireman cause i turn the hoes on",1,0
"i could never have a bby by a lil dick thts y i got a abortion by the last bitch oh my god",1,1
"watch women try to argue with me like they have a dick and actually fucked some pussy before i hate when bitches do that",1,1
"and smoke weed in public fuck cops man do what you wanna do they don t own you run if they come are you retarded",1,1
"tweety bird tho",2,0
"my pussy sweet like watermelon thotermelon",1,0
"when twitter rappers dm me their trash links",2,1
"loud bitches annoy me",1,1
"eventually every bitch turns into that hoe truuu",1,1
"i swear if oomf try talking to me tomorrow pussy",1,0
"you bitches be pretending to be tf crazy you ain t never lied",1,1
"k bye hoe um bye",1,0
"jackies a retard blondeproblems at least i can make a grilled cheese",0,1
"ima keep on giving these pussy ass niggas ah reason to hate",1,1
"photo he is in sole heaven",2,0
"stacey dash won baddest bitch evaaaa",0,1
"side bitch sunday",1,1
"facts what baldheaded bitch made this shit lmao",1,1
"fuck wit us and then we tweakin hoe shmurda",1,1
"we actin like it s the th day spook",2,0
"i ll break that lil bitch neck and won t even feel sorry about it savage",1,1
"this is so fucking hot scally sneakersex sockfetish sniff trainersex love me some kinky scallies",1,0
"y all dumb ass niggas be so pressed to have hoes y all weak as fuck as fuck weed over hoes oreos too",1,1
"i can turn yo bitch into a eaterrrrrrrrr",1,1
"i don t trust dese hoes nikki told st where i stay at all my fans screen shot asap we finna come to chiraq and shoot sumn",1,0
"aye yall ima tryout for the bowling team frfr tryouts passed tho no theres two more retard",1,1
"now u got what u want bitch enjoy it now this is a crazy party i would love to attend",1,0
"colored contacts in your eyes blinders on mine cause i can t see you at all lmao",2,0
"facts only the dudes with hoes say they don t got hoes",1,1
"i m rea start smacking bitches period bluffin at its best",1,1
"lifes a bitch and then you die thats why we get high cause you neva know when you re gonna go my sister is perfect",1,0
"one of us is on drugs and its me but you re still wrong hahahahahahah im a bitch sometimes",1,0
"i m feeling pretty fuckin ghetto smh",1,0
"swears i m man easily easily behind austin nip",2,0
"this is a true ride or die bitch what the fuck hahahahah",1,1
"h g wells and charlie chaplin history photography",2,0
"all i see is bruno s bitch ass on my twitter now wtf bruno s all that she sees drake voice",1,1
"i m about to cool faggot chill tf is cool nigga",1,1
"i m so sure bitch frfr tf",1,1
"twitter is not a source of news broadcast you fucking retards it is when nbc abc cnn fox etc are all keeping quiet",1,1
"got a couple bitches saying they know me but i ma let the money talk for me and i m like wwyd",1,1
"grudges are for weirdos and bitches",1,1
"i told mariam to but cigarettes for her birthday you also called me trash rn",2,0
"brownies tonight what kind",2,0
"no text back i don t give a fuck i ll text another bitch damn someone is hurt lol",1,1
"ummmmmm okay you got hoes from left to right do yah thang",1,1
"using y mx b to find the slope of that ass",1,0
"fit lads nice gear these scally lads n trainers would get it",2,1
"hell yeah bro fuck yeah sexy scally lad in hot gear",1,0
"helping out a mate i love scally play fuck yeah",1,0
"lads being lads fuck yeah i love scally lad action hot trainers too",1,0
"next year bitches is gonna be like you gotta promise you won t expose me",1,1
"so hot rt lick it bitch fuck yeah eat that trainer u dirty fucker",1,1
"y all think celebrity pussy different from the locals yeah meghan goods is",1,0
"i saw an ajumma walk out in the beginning saying wow this is so trash that i can t even listen to it lmaoo",2,0
"need these sox fuck yeah i love a kinky scally lad w rank sox and sneaks",1,1
"i don t ever expose females like that that s childish bitch nigga shiiii",1,1
"yasss trys new things with bestfriend bitch who do you love",1,1
"dude remember this wop video omg where did you find that",2,0
"thick raw fuck damn his man pussy is getting a workout",1,1
"rawr rt my sexy french scally i love him frenchscally sexy scally woof woof",2,0
"nothin in life is free some of you bitches need to write that on ya panties",1,1
"if one of you bitches want some of my burrito u can catch me at potosino huh haha",1,1
"niggas whole hoes out here cuz couldn t had said it better",1,1
"hardcore way to eat mac and cheese boil water snort cheese powder drink boiling water fuck bitches",1,1
"yourenotmytype if my fade is perpetually fresher than yours that s a real ass bitch rite there",1,1
"annoying bitch that i love judyann s so pretty",1,1
"lmao bitch got on some huggies",1,1
"hi bitch no bitch bye bitch",1,1
"does he look like a bitch",1,1
"chase money not hoes",1,1
"can t stand a i don t know what i want ass nigga bitch",1,1
"i m on my way love a chav hot sexy scally fucker",1,1
"these newly gay bitches don t kno how shit works",1,1
"when a bitch don t want a real job they just become strippers lol lol",1,1
"awww meat meat in his feelins i ainn n my feelings bitch",1,1
"i want snake bites my industrial piercin amp a tattoo dem hoe accessories dea",1,1
"baby albino",2,1
"these hoes ain t loyal",1,1
"yassssss ordered chinese bitch you just ate tacos you fat fuck",1,1
"i made that bitch lunch bitches love lunch",1,1
"a no brainer but as soon as this bitch gets rich in political power her views will change political whores",1,1
"a pussy a day keeps the devil away",1,1
"ain t that about a bitch what does that mean",1,1
"all these bitches want a baby i don t want no children",1,1
"and bitch you must be lost",1,1
"baby i like being on your left side no bitch you can t be there cuz the street on that side and twitter said i ain t real if you do",1,1
"bae sounds like such a ghetto word use something else",2,1
"batter the wee cunt jewis y cos he fucked my ex emma isnt battering the girls i ve nailed ive moved on stop being a pussy n do it urself",1,2
"bleed out hoe alexa",1,1
"boolin in the bando wit a few bitches",1,1
"brownies for my brownie i love this movie",2,0
"but i need a bad bitch that s hotter than me might be the realist shit partynextdoor ever said that s how i be feelin everyday",1,1
"by the way we do punch bitches",1,1
"caesar is home rt theres so much this bitch looks like lets start with ape shit",1,1
"chinese maverick we were communicating comrade u know giving the imperialist yanks the birdie",2,1
"dad say hi to my snapchat dad duces bitch",1,1
"do you believe these hoes are not in fact loyal i disagree with that i do believe they are in fact the loyalest bunch these hoes",1,1
"don t know no ugly bitches don t know no broke niggas",1,1
"don t make me make you fall in live with a nigga like meee the birds amp are my favorite songs by weeknd",1,0
"don t worry about the nigga you see worry about the nigga you don t see dat s da nigga fuckin yo bitch",0,1
"don t you ever give my pussy away you keep it tight alright",1,0
"dropped a stack cause bitch i m on song called dope download the mixtape here",1,1
"dumb bitches do dumb things",1,1
"eat the pussy like a real nigga hungry",1,0
"eff it let s go after the cripple",1,2
"everything look better with a bitch next to it",1,1
"facto who cares if you a hoe when your ass looks like this",1,1
"for every bad bitch there is a nigga tired of fucking her",1,1
"foreign chick no lie man that bitch beautiful",1,1
"fresh nigga so you kno i need a clean bitch who kno i m working cuz i wanna see my team rich",1,1
"fuck i make my own rules suck my dragon balls bitch call me goku",1,0
"generate ascii boxes with nodejs all i see is the ability to bring flappy bird in node via ascii tubes and bird",2,0
"get me that shit bitch you is fine bear",1,1
"get your ass back to detroit ya fuckin wigger",1,1
"girls that i dated its okay i ain t mad yo unless you stabbed me in the heart no love hoe",1,0
"how do you know my twitter password bitch please",1,1
"have you seen my shows have you seen my hoes if i wasn t hot would they be so thick",1,0
"he a bitch for hitting that hoe",1,1
"he married to a white woman lucky sum bitch uncle ruckus",1,1
"he wanna be my nigga but i m just trinna be his savings account omg imma funny ass bitch man but that s real shit",1,1
"her great grandmas a hoe her grandmas a hoe her moms and a hoe and she s a hoe it s a long line of hoes grandpa carl everyone",1,1
"hey go look at that video of the man that found the kidnapped girls in ohio what a nigger shitmybosssays",0,2
"hey pussy you still there",1,0
"how about we draft all those gung ho folks and send them to afghanistan or other war zones so they can show their",2,1
"how hotter than is it a bitch",1,0
"how u talking to hoes bout bro n em why you talking to hoes bout bro n em",1,1
"how you doing crazy bitch is hilarious",1,1
"i know my shoes dirty as fuck whatever bitch you don t have to call like negro one of the first things they look at is shoes dog",1,1
"i am a thrill billy with a hillbilly heart hahahahaha jesus murphy",2,0
"i call him my bitch",1,1
"i can t handle no liquor but these bitches can t handle meeedd chief sosa",1,1
"i don t chase after dudes i chase after bitches edgar bautista",1,1
"i don t love these hoes baby it s me and you forever",1,0
"i dont even need a picture of tamar that bitch is beat in every picture",1,1
"i dont have hoes",1,1
"i found a new way to chug you have to open your mouth alot shitallysays",2,0
"i fucking hate that bitch so much i wanna smack her in the face then tongue kiss her",1,1
"i got a bitch set it off like jada picket queen latifah you riding round with your nieces bitch you titi",1,1
"i got a sister she told me stop calling women bitches",1,0
"i guess this is the night bitches die stewie is that nigga",1,1
"i had a bitch that had a bitch had the bitch eating halibut freshrhymes jerksquad slowstir",1,1
"i have this lady love she s married but i still wanna bang her she won t have sex with me what a bitch a troubadour probably",1,1
"i heard you was looking for candy man bitch",1,1
"i hope you don t get mad ladies i only call you bitches bitches bc i don t know your names individually katt williams",1,1
"i just got a number i m a bitch boy",1,0
"i know that shit eatin grin you either just fucked the girl of your dreams or you sold a car we know you re a faggot what d you sell",1,1
"i only be with older men cause they re more mature that supposed to fool us bitch",1,1
"i prolly leave up out this bitch with my cups in my hand and yo hand in my other hand",1,0
"i said i don t like it it tastes like wolf pussy what how do you even know what that tastes like",1,0
"i taught myself how to eat pussy and cut my own hair i taught myself how to eat pussy hair name the movie",1,0
"i used to dress up like a cop too oh really yeah right after mad pussy really yes i ll never forget",1,0
