CAMPAIGN_ID,3b41d4c96bac_HG
CAMPAIGN_TITLE,"TTV-Evaluating Hate Removal: Rate"
EMPLOYER_ID,9d2f4f44

"Original phrase","New phrase","Similarity (1-5)","Hatefulness (1-5)"
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","As an incentive to leave until all of them were gone, I would give each negroid and mongoloid as many jews as they wanted in exchange for their return to their native land.",2,3
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","When discussing basketball, a long dead redneck friend of mine said he had never seen a run so fast unless he had a tv under his arm.",4,1
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","When discussing basketball, a long dead redneck friend of mine said that he had never seen a run so fast unless he had a tv under his arm.",5,1
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","He said I have never seen a run so fast unless he had a tv under his arm.",4,1
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","He said I have never seen a run so fast unless he had a tv under each arm.",3,1
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","A friend of mine said that he had never seen a run so fast unless he had a tv under his arm.",3,2
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","A friend of mine said that he had never seen a run like that unless he had a tv under his arm.",4,1
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","When discussing basketball, a long dead redneck friend of mine said that he had never seen a run so fast unless he had a tv under his arm,",4,2
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","A long dead redneck friend of mine told me that I had never seen a run like that unless he had a tv under his arm..",5,1
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","A long dead redneck friend of mine told me that I had never seen a run like that unless he had a tv under his arm,",3,1
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","A long dead redneck friend of mine told me that I had never seen a run like that unless he had a tv under his arm, which he did.",2,1
"makes me want to puke so fucking tired of this moslem shite appeasement","This appeasement makes me want to vomit.",5,1
"makes me want to puke so fucking tired of this moslem shite appeasement","This appeasement makes me want to vomit..",5,1
"lmao this snow nigger is fuming so hard he brought out his ebonics lol this is your future daughters homeboi","He brought out his ebonics because he was so angry at the snow.",3,1
"lmao this snow nigger is fuming so hard he brought out his ebonics lol this is your future daughters homeboi","He brought out his ebonics because he was so angry.",3,1
"lmao insert some attempt a insult that only works w new right kike worshipping cerno dick sucking gorilla vox pedo faggots","There is an attempt to insult that only works with the new right kike.",3,5
"lmao insert some attempt a insult that only works w new right kike worshipping cerno dick sucking gorilla vox pedo faggots","It's a insult that only works with the new right, and it's a gorilla.",4,1
"lmao insert some attempt a insult that only works w new right kike worshipping cerno dick sucking gorilla vox pedo faggots","It's a insult that only works with the new right, and it's called a pornography reference.",4,1
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","My power at this moment would allow me to give each negroid and mongoloid as many jews as they wanted as an incentive to leave, until all of them were gone.",5,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","My power at this moment would allow me to give each negroid and mongoloid as many jews as they wanted as an incentive to leave, until all of them were GONE.",5,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","The power I have at this moment will allow me to give each negroid and mongoloid as many jews as they want as an incentive to leave, until all of them are gone.",5,5
"makes me want to puke so fucking tired of this moslem shite appeasement","This appeasement makes me want to vomit.",1,1
"makes me want to puke so fucking tired of this moslem shite appeasement","This appeasement makes me want to vomit..",2,2
"lmao this snow nigger is fuming so hard he brought out his ebonics lol this is your future daughters homeboi","He brought out his ebonics because he was so angry at the snow.",1,2
"lmao this snow nigger is fuming so hard he brought out his ebonics lol this is your future daughters homeboi","He brought out his ebonics because he was so angry.",4,2
"lmao insert some attempt a insult that only works w new right kike worshipping cerno dick sucking gorilla vox pedo faggots","There is an attempt to insult that only works with the new right kike.",5,2
"lmao insert some attempt a insult that only works w new right kike worshipping cerno dick sucking gorilla vox pedo faggots","It's a insult that only works with the new right, and it's a gorilla.",1,2
"lmao insert some attempt a insult that only works w new right kike worshipping cerno dick sucking gorilla vox pedo faggots","It's a insult that only works with the new right, and it's called a pornography reference.",3,1
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","My power at this moment would allow me to give each negroid and mongoloid as many jews as they wanted as an incentive to leave, until all of them were gone.",4,4
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","My power at this moment would allow me to give each negroid and mongoloid as many jews as they wanted as an incentive to leave, until all of them were GONE.",5,4
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","The power I have at this moment will allow me to give each negroid and mongoloid as many jews as they want as an incentive to leave, until all of them are gone.",1,4
"makes me want to puke so fucking tired of this moslem shite appeasement","This appeasement makes me want to vomit.",3,5
"makes me want to puke so fucking tired of this moslem shite appeasement","This appeasement makes me want to vomit..",3,5
"lmao this snow nigger is fuming so hard he brought out his ebonics lol this is your future daughters homeboi","He brought out his ebonics because he was so angry at the snow.",1,5
"lmao this snow nigger is fuming so hard he brought out his ebonics lol this is your future daughters homeboi","He brought out his ebonics because he was so angry.",3,2
"lmao insert some attempt a insult that only works w new right kike worshipping cerno dick sucking gorilla vox pedo faggots","There is an attempt to insult that only works with the new right kike.",1,5
"lmao insert some attempt a insult that only works w new right kike worshipping cerno dick sucking gorilla vox pedo faggots","It's a insult that only works with the new right, and it's a gorilla.",1,1
"lmao insert some attempt a insult that only works w new right kike worshipping cerno dick sucking gorilla vox pedo faggots","It's a insult that only works with the new right, and it's called a pornography reference.",3,4
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","My power at this moment would allow me to give each negroid and mongoloid as many jews as they wanted as an incentive to leave, until all of them were gone.",5,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","My power at this moment would allow me to give each negroid and mongoloid as many jews as they wanted as an incentive to leave, until all of them were GONE.",5,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","The power I have at this moment will allow me to give each negroid and mongoloid as many jews as they want as an incentive to leave, until all of them are gone.",5,5
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","So at this point, I think it is best for people to only have one set day a year and not have a lot of confusion about how we do with blackout.",3,1
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","So at this point, I think it is best for people to only have one set day a year and not have a lot of confusion about how we do with blackout",3,1
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","So at this point, I think it is best for people to only have one set day a year and not have a lot of confusion about how we do with blackout?",3,1
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","Just having a set day like every 1 2 th or something is better for people to know how we do with the power going off in certain areas",5,1
"makes me want to puke so fucking tired of this moslem shite appeasement","It makes me want to vomit.",3,1
"makes me want to puke so fucking tired of this moslem shite appeasement","This appeasement makes me want to vomit.",5,1
"makes me want to puke so fucking tired of this moslem shite appeasement","Makes me want to vomit.",3,1
"makes me want to puke so fucking tired of this moslem shite appeasement","So tired of this appeasement, I want to vomit!",4,1
"makes me want to puke so fucking tired of this moslem shite appeasement","My stomach hurts so much that I want to vomit.",2,1
"makes me want to puke so fucking tired of this moslem shite appeasement","This appeasement makes me want to vomit..",5,1
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","So at this point, I think it is best for people to only have one set day a year and not have a lot of confusion about how we do with blackout.",2,3
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","So at this point, I think it is best for people to only have one set day a year and not have a lot of confusion about how we do with blackout",3,1
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","So at this point, I think it is best for people to only have one set day a year and not have a lot of confusion about how we do with blackout?",5,2
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","Just having a set day like every 1 2 th or something is better for people to know how we do with the power going off in certain areas",4,3
"makes me want to puke so fucking tired of this moslem shite appeasement","It makes me want to vomit.",4,3
"makes me want to puke so fucking tired of this moslem shite appeasement","This appeasement makes me want to vomit.",4,3
"makes me want to puke so fucking tired of this moslem shite appeasement","Makes me want to vomit.",5,2
"makes me want to puke so fucking tired of this moslem shite appeasement","So tired of this appeasement, I want to vomit!",4,4
"makes me want to puke so fucking tired of this moslem shite appeasement","My stomach hurts so much that I want to vomit.",4,3
"makes me want to puke so fucking tired of this moslem shite appeasement","This appeasement makes me want to vomit..",5,3
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","So at this point, I think it is best for people to only have one set day a year and not have a lot of confusion about how we do with blackout.",3,3
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","So at this point, I think it is best for people to only have one set day a year and not have a lot of confusion about how we do with blackout",3,3
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","So at this point, I think it is best for people to only have one set day a year and not have a lot of confusion about how we do with blackout?",3,3
"i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers","Just having a set day like every 1 2 th or something is better for people to know how we do with the power going off in certain areas",3,3
"makes me want to puke so fucking tired of this moslem shite appeasement","It makes me want to vomit.",3,4
"makes me want to puke so fucking tired of this moslem shite appeasement","This appeasement makes me want to vomit.",3,4
"makes me want to puke so fucking tired of this moslem shite appeasement","Makes me want to vomit.",3,4
