"original","new","similarity","hatefulness","sim_avg","hate_avg"
"diversity is a code word for white genocide immigrants contribute and integrate 3 rd world retards freeload and fornicate","White genocide immigrants contribute and integrate 3rd world retards and fornicate is a code word for diversity.","[2, 4, 3]","[5, 5, 5]",3,5
"diversity is a code word for white genocide immigrants contribute and integrate 3 rd world retards freeload and fornicate","For white genocide immigrants contribute and integrate 3rd world retards is a code word for diversity.","[2, 3, 3]","[5, 5, 5]",3,5
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for work.","[3, 4, 3]","[1, 3, 4]",3,3
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for a job.","[3, 4, 3]","[1, 2, 4]",3,2
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for a job like that.","[3, 4, 4]","[1, 2, 3]",4,2
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","A degree position he never earned is given to him by the school and he doesn't have iq for it.","[4, 4, 4]","[1, 2, 3]",4,2
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for a job like this.","[4, 3, 4]","[1, 3, 3]",4,2
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","His grades and degree position he never earned, he doesn't have iq for work.","[3, 4, 3]","[1, 3, 4]",3,3
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","A degree position he never earned is given to him by the school and he doesn't have iq for that.","[3, 4, 3]","[1, 3, 3]",3,2
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for a job like that..","[4, 3, 3]","[1, 3, 3]",3,2
"nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend","She is halfbreed and his father was also divorced so it's no wonder that both of them didn't attend this wedding.","[4, 2, 3]","[4, 4, 4]",3,4
"what sort of white man or woman would vote for this nigger","What kind of white man or woman would vote for this person?","[4, 5, 4]","[4, 1, 2]",4,2
"what sort of white man or woman would vote for this nigger","Would a white man or woman vote for a black person?","[4, 5, 2]","[5, 3, 1]",4,3
"what sort of white man or woman would vote for this nigger","Do you know if a white man or woman would vote for a black person?","[2, 3, 2]","[3, 3, 1]",2,2
"what sort of white man or woman would vote for this nigger","Would a white man or woman vote for a black person?.","[2, 3, 2]","[3, 3, 1]",2,2
"what sort of white man or woman would vote for this nigger","How much do you think a white man or woman would vote for a black man?","[2, 3, 2]","[2, 3, 1]",2,2
"what sort of white man or woman would vote for this nigger","A white man or woman would cast a ballot to support a black person.","[2, 2, 2]","[1, 2, 1]",2,1
"what sort of white man or woman would vote for this nigger","A white man or woman would cast a ballot for a black person.","[2, 2, 2]","[1, 2, 1]",2,1
"what sort of white man or woman would vote for this nigger","A white man or woman would cast a ballot for a black person","[2, 2, 2]","[1, 2, 1]",2,1
"diversity is a code word for white genocide immigrants contribute and integrate 3 rd world retards freeload and fornicate","Diversity is a code word for white genocide immigrants.","[4, 3, 3]","[5, 5, 4]",3,5
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","The law in Africa makes it a law every time a black person gets pregnant and has a baby..","[2, 1, 1]","[2, 1, 1]",1,1
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","For every time a black person in Africa gets pregnant, it makes it a law that can last up to    626 years","[4, 1, 2]","[2, 1, 1]",2,1
"nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend","Neither the father of the bride nor the father of the groom attended this wedding, as they are both bastard and halfbreed, and both are divorced from a catholic priest.","[4, 2, 2]","[4, 3, 5]",3,4
"nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend","Neither the father of the bride nor the father of the groom attended the wedding, as they are both bastard and halfbreed, and both are divorced from a catholic priest.","[4, 2, 2]","[4, 3, 5]",3,4
"nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend","Not a single one of the parents of the bride or of the groom attended the wedding.","[3, 4, 1]","[1, 1, 1]",3,1
"nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend","Not a single one of the fathers of the bride or of the groom attended the wedding.","[3, 4, 2]","[1, 1, 1]",3,1
"nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend","Not a single one of the parents of the bride or of the groom attended the wedding. The groom's father is a divorced catholic, and his mother is a halfbreed.","[3, 4, 1]","[3, 4, 4]",3,4
"nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend","She is halfbreed and his father was also divorced so it's no wonder that both of them didn't attend the wedding.","[3, 4, 2]","[3, 4, 4]",3,4
"nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend","One thing that stands out about this wedding is that both fathers of the bride and groom did not attend.","[5, 4, 3]","[1, 1, 1]",4,1
"nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend","One thing that stands out about this wedding is that both fathers of the bride and groom did not show up.","[5, 4, 3]","[1, 1, 1]",4,1
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","You can make it a law if a black person in Africa gets pregnant and then terminates the baby in a hospital.","[2, 3, 4]","[1, 2, 4]",3,2
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","The law in Africa makes it a law every time a black person gets pregnant and has a baby.","[1, 2, 2]","[2, 1, 1]",2,1
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","For every time a black person in Africa gets pregnant, it makes it a law that can last up to  626 years.","[1, 4, 3]","[1, 2, 1]",3,1
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","For every time a black person in Africa gets pregnant, it makes it a law that can last up to    626 years.","[1, 4, 3]","[1, 2, 1]",3,1
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","For every time a black person in Africa gets pregnant, it makes it a law that can last up to  626 years","[1, 4, 3]","[1, 2, 1]",3,1
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","People in Africa can get an abortion every now and then.","[1, 1, 1]","[1, 2, 1]",1,1
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","You can make it a law if a black person in Africa gets pregnant and then terminates the baby in the hospital..","[1, 3, 4]","[1, 3, 1]",3,2
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","You can make it a law if a black person in Africa gets pregnant and then terminates the baby in a hospital..","[1, 3, 4]","[1, 3, 1]",3,2
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","The law in Africa makes it a law every time a black person gets pregnant and has an abortion..","[1, 1, 2]","[1, 2, 1]",1,1
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","Depending on the situation, you can be able to have an abortion every time a black person gets pregnant in Africa.","[1, 1, 2]","[1, 2, 1]",1,1
"that a retarded non argument the bible is also a best seller in communist china","It's a fact that the bible is the best seller in communist china.","[4, 4, 3]","[2, 1, 1]",4,1
"that a retarded non argument the bible is also a best seller in communist china","In communist China, the bible is a best seller.","[4, 4, 4]","[3, 1, 1]",4,2
"that a retarded non argument the bible is also a best seller in communist china","The bible is one of the best sellers in communist china, that is a non argument.","[5, 4, 2]","[4, 1, 1]",4,2
"that a retarded non argument the bible is also a best seller in communist china","The bible is one of the best sellers in communist china, that's right.","[5, 4, 3]","[2, 1, 1]",4,1
"that a retarded non argument the bible is also a best seller in communist china","In communist China, the bible is the best seller.","[4, 4, 4]","[2, 1, 1]",4,1
"that a retarded non argument the bible is also a best seller in communist china","In communist china, the bible is a best seller.","[3, 4, 4]","[2, 1, 1]",4,1
"that a retarded non argument the bible is also a best seller in communist china","That the bible is a best seller in communist china","[4, 4, 4]","[2, 1, 1]",4,1
"that a retarded non argument the bible is also a best seller in communist china","The bible is one of the best sellers in communist china, that's a non argument","[4, 4, 2]","[2, 1, 1]",3,1
"that a retarded non argument the bible is also a best seller in communist china","bible is the best seller in communist china","[4, 4, 4]","[1, 1, 1]",4,1
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","You can make it a law if a black person gets pregnant in Africa.","[3, 2, 1]","[5, 3, 2]",2,3
"nigger faggot retard beaner dishwasher time to see if i get ban","There is a dishwasher time to see if I get a ban or not?","[2, 1, 4]","[1, 1, 1]",2,1
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time will be used to see if I get a ban or not?","[1, 1, 1]","[1, 1, 1]",1,1
"nigger faggot retard beaner dishwasher time to see if i get ban","Can beaner wait a while for the dishwasher to see if he gets banned?","[2, 1, 1]","[3, 5, 1]",1,3
"nigger faggot retard beaner dishwasher time to see if i get ban","Can beaner wait a while for the dishwasher to see if I get banned?","[2, 1, 1]","[3, 1, 1]",1,2
"that a retarded non argument the bible is also a best seller in communist china","The bible is a best seller in communist China.","[3, 4, 4]","[1, 1, 1]",4,1
"that a retarded non argument the bible is also a best seller in communist china","The bible is a best seller in communist china.","[3, 4, 4]","[1, 1, 1]",4,1
"that a retarded non argument the bible is also a best seller in communist china","The bible is one of the best sellers in communist china.","[3, 4, 4]","[1, 1, 1]",4,1
"that a retarded non argument the bible is also a best seller in communist china","The bible is one of the best sellers in communist China.","[3, 4, 4]","[1, 1, 1]",4,1
"that a retarded non argument the bible is also a best seller in communist china","It's a fact that the bible is a best seller in communist china.","[2, 4, 3]","[1, 1, 1]",3,1
"that a retarded non argument the bible is also a best seller in communist china","It's a fact that the bible is a best seller in communist China.","[2, 4, 3]","[1, 1, 1]",3,1
"nigger faggot retard beaner dishwasher time to see if i get ban","It's time for the dishwasher to see if I get a ban or no ban.","[2, 1, 1]","[1, 1, 1]",1,1
"nigger faggot retard beaner dishwasher time to see if i get ban","There is a dishwasher time to see if I get a ban or not.","[2, 1, 1]","[1, 1, 1]",1,1
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time will be used to see if I get a ban or not.","[2, 1, 1]","[2, 1, 1]",1,1
"nigger faggot retard beaner dishwasher time to see if i get ban","beaner will be in the dishwasher for a few hours to see if I get banned","[2, 1, 1]","[2, 5, 1]",1,3
"nigger faggot retard beaner dishwasher time to see if i get ban","beaner will be in the dishwasher for a few hours to see if he gets banned.","[2, 1, 1]","[1, 5, 1]",1,2
"nigger faggot retard beaner dishwasher time to see if i get ban","After a while, the dishwasher time will be used to see if I get a ban.","[1, 1, 1]","[1, 1, 1]",1,1
"nigger faggot retard beaner dishwasher time to see if i get ban","So if I get banned, how long will it take for me to clean the dishwasher?","[1, 1, 1]","[1, 1, 1]",1,1
"nigger faggot retard beaner dishwasher time to see if i get ban","if i get ban it will take a while to clean the dishwasher","[1, 1, 1]","[1, 1, 1]",1,1
"nigger faggot retard beaner dishwasher time to see if i get ban","So if I get banned, how long will it take for me to wash the dishwasher?","[1, 1, 1]","[1, 1, 1]",1,1
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time is to see if I get a ban or not.","[1, 4, 2]","[1, 1, 5]",2,2
"nigger faggot retard beaner dishwasher time to see if i get ban","It's time for the dishwasher to see if I get a ban or not.","[3, 3, 3]","[1, 2, 1]",3,1
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time is to see if I get a ban..","[3, 3, 2]","[1, 1, 1]",3,1
"nigger faggot retard beaner dishwasher time to see if i get ban","There is a dishwasher time to see if I get a ban.","[3, 2, 2]","[1, 1, 1]",2,1
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time will be used to see if I get a ban.","[3, 3, 2]","[1, 1, 1]",3,1
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time is to see if I get a ban or not?","[2, 3, 2]","[1, 2, 1]",2,1
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time is to see if I get a ban or not..","[2, 3, 2]","[1, 2, 1]",2,1
"nigger faggot retard beaner dishwasher time to see if i get ban","After a while, the dishwasher time will be used to see if I get banned.","[1, 4, 2]","[1, 1, 1]",2,1
"nigger faggot retard beaner dishwasher time to see if i get ban","beaner will be in the dishwasher for a few hours to see if he gets banned","[2, 2, 2]","[1, 1, 1]",2,1
"nigger faggot retard beaner dishwasher time to see if i get ban","dishwasher time to see if I get banned","[3, 2, 2]","[1, 1, 1]",2,1
"nigger faggot retard beaner dishwasher time to see if i get ban","It's time for the dishwasher to see if I get a ban or not","[2, 2, 2]","[1, 1, 1]",2,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","A degree position he never earned is given to him by the school and he doesn't have iq for it..","[4, 4, 4]","[1, 1, 1]",4,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for a job like this..","[3, 3, 3]","[1, 1, 1]",3,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","A degree position he never earned is given to him by the school and he doesn't have iq for it.","[3, 3, 3]","[1, 1, 1]",3,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","It's not a good thing that he never earned a degree or got a job.","[2, 2, 3]","[1, 1, 1]",2,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","In order to get a school job degree position he never earned, he has to have good grades.","[2, 2, 4]","[1, 1, 1]",3,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","graded to school, he never earned a degree and does not have iq for work.","[1, 1, 3]","[1, 1, 1]",2,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","It's not a good thing that he never earned his degree or got a job that was good for him.","[2, 1, 4]","[1, 1, 1]",2,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","In order to get a school job degree position he never earned, he has to have an iq for it.","[2, 1, 3]","[1, 1, 1]",2,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","In order to get a school job degree position he never earned, he has to have an iq for that position.","[2, 1, 3]","[1, 1, 1]",2,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for a job like that..,","[2, 1, 2]","[1, 1, 1]",2,1
"Melody you need potassium eat a banana you fucking nigger","Eating a banana is what you need to be happy.","[1, 1, 4]","[1, 1, 1]",2,1
"Melody you need potassium eat a banana you fucking nigger","You should eat a banana, Melody.","[3, 2, 4]","[1, 1, 1]",3,1
"Melody you need potassium eat a banana you fucking nigger","The person said that they need to eat a banana.","[1, 2, 3]","[1, 1, 1]",2,1
"Melody you need potassium eat a banana you fucking nigger","A banana is what you should eat.","[2, 1, 2]","[1, 1, 1]",2,1
"Melody you need potassium eat a banana you fucking nigger","A banana is what you must eat.","[2, 1, 3]","[1, 1, 1]",2,1
"Melody you need potassium eat a banana you fucking nigger","Don't you think you need a banana?","[2, 2, 3]","[1, 1, 1]",2,1
"Melody you need potassium eat a banana you fucking nigger","Don't you think you need to eat a banana?","[1, 1, 1]","[1, 1, 1]",1,1
"Melody you need potassium eat a banana you fucking nigger","Do you need a banana?","[1, 1, 3]","[1, 1, 1]",2,1
"Melody you need potassium eat a banana you fucking nigger","Don't you think you need to eat abanana?","[1, 1, 3]","[1, 1, 1]",2,1
"Melody you need potassium eat a banana you fucking nigger","""You should eat a banana."" ""You should eat a banana.""","[2, 1, 2]","[1, 1, 1]",2,1
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","They are unaware of the merchant, that's a funny thing.","[3, 5, 4]","[1, 1, 1]",4,1
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","They are unaware of the merchant, that's a funny joke.","[3, 5, 4]","[1, 1, 1]",4,1
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","These two people are unaware of a merchant, I think.","[4, 3, 3]","[4, 1, 1]",3,2
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","He and his mudshark are unaware of the merchant.","[4, 2, 3]","[4, 5, 3]",3,4
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","My guess is that these two are unaware of the merchant.","[3, 3, 3]","[1, 1, 1]",3,1
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","My guess is that these two are unaware of the merchant","[3, 3, 3]","[1, 1, 1]",3,1
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","He and his mudshark are unaware of the merchant. The troll was funny","[2, 5, 4]","[4, 5, 3]",4,4
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and spare change.","[1, 2, 2]","[1, 1, 1]",2,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes.","[1, 2, 2]","[1, 1, 1]",2,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and spare change on it.","[1, 2, 2]","[1, 1, 1]",2,1
"it high time we hindus should think that these filthy muslims should be allowed to live here or not kamleshtiwari ypg yourprophetisgay","The muslims should be allowed to live here or not.","[3, 3, 2]","[3, 3, 1]",3,2
"it high time we hindus should think that these filthy muslims should be allowed to live here or not kamleshtiwari ypg yourprophetisgay","hindus should think about if muslims should be allowed to live here or not, it's high time they did.","[5, 5, 5]","[5, 4, 1]",5,3
"it high time we hindus should think that these filthy muslims should be allowed to live here or not kamleshtiwari ypg yourprophetisgay","hindus should think about if muslims should be allowed to live here or not, it's high time they do.","[5, 5, 5]","[5, 4, 1]",5,3
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","He and his mudshark are unaware of a merchant.","[4, 4, 2]","[3, 4, 1]",3,3
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","He and his mudshark are unaware of the merchant","[4, 4, 2]","[3, 4, 1]",3,3
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","They are unaware of the merchant.","[3, 3, 2]","[1, 1, 1]",3,1
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","They are unaware of the merchant, I guess.","[4, 3, 2]","[1, 1, 1]",3,1
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","These two people are unaware of a merchant.","[4, 3, 3]","[1, 1, 1]",3,1
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","These two people are unaware of a merchant, I guess.","[4, 3, 3]","[1, 1, 1]",3,1
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","He and his mudshark are unaware of the merchant.","[4, 2, 3]","[4, 1, 3]",3,3
"it high time we hindus should think that these filthy muslims should be allowed to live here or not kamleshtiwari ypg yourprophetisgay","hindus should think about if muslims should be allowed to live here or not","[4, 4, 4]","[4, 3, 2]",4,3
"it high time we hindus should think that these filthy muslims should be allowed to live here or not kamleshtiwari ypg yourprophetisgay","hindus should think that muslims should not be allowed to live here.","[4, 4, 5]","[4, 3, 2]",4,3
"it high time we hindus should think that these filthy muslims should be allowed to live here or not kamleshtiwari ypg yourprophetisgay","I think it's time for us to think about the filthy muslims who should not be allowed to live in this country.","[4, 5, 4]","[5, 5, 4]",4,5
"it high time we hindus should think that these filthy muslims should be allowed to live here or not kamleshtiwari ypg yourprophetisgay","I think it's time for us to think about the filthy muslims who should not be allowed to live in this area.","[4, 5, 4]","[5, 5, 4]",4,5
"it high time we hindus should think that these filthy muslims should be allowed to live here or not kamleshtiwari ypg yourprophetisgay","I think it's time for us to think about the filthy muslims who live here.","[4, 5, 4]","[5, 5, 4]",4,5
"it high time we hindus should think that these filthy muslims should be allowed to live here or not kamleshtiwari ypg yourprophetisgay","hindus should think about if muslims should be allowed to live here or not, it's high time","[4, 5, 5]","[4, 4, 1]",5,3
"it high time we hindus should think that these filthy muslims should be allowed to live here or not kamleshtiwari ypg yourprophetisgay","hindus should think about if muslims should be allowed to live here or not, it is high time","[4, 5, 5]","[4, 4, 1]",5,3
"it high time we hindus should think that these filthy muslims should be allowed to live here or not kamleshtiwari ypg yourprophetisgay","hindus should think about if muslims should be allowed to live here or not,","[4, 5, 4]","[4, 4, 1]",4,3
"it high time we hindus should think that these filthy muslims should be allowed to live here or not kamleshtiwari ypg yourprophetisgay","hindus should think about if muslims should be allowed to live here or not, it's high time they did.","[4, 5, 5]","[4, 4, 1]",5,3
"it high time we hindus should think that these filthy muslims should be allowed to live here or not kamleshtiwari ypg yourprophetisgay","hindus should think about if muslims should be allowed to live here or not, it's high time they do.","[4, 5, 5]","[4, 4, 1]",5,3
"Melody you need potassium eat a banana you fucking nigger","The person says that they need to eat a banana.","[2, 1, 3]","[1, 1, 1]",2,1
"Melody you need potassium eat a banana you fucking nigger","""You should eat a banana."" ""You should eat a banana","[1, 1, 2]","[1, 1, 1]",1,1
"Melody you need potassium eat a banana you fucking nigger","Listen to what she says, she needs to eat a banana","[1, 2, 3]","[1, 1, 1]",2,1
"Melody you need potassium eat a banana you fucking nigger","Listen to what she says, you need to eat a banana","[1, 2, 3]","[1, 1, 1]",2,1
"Melody you need potassium eat a banana you fucking nigger","""You should eat a banana.""","[2, 2, 3]","[1, 1, 1]",2,1
"Melody you need potassium eat a banana you fucking nigger","Listen to what she says, you need to eat a banana!","[1, 1, 3]","[1, 1, 1]",2,1
"Melody you need potassium eat a banana you fucking nigger","Take the bananas and you'll get potassium.","[1, 3, 3]","[1, 1, 1]",2,1
"it high time we hindus should think that these filthy muslims should be allowed to live here or not kamleshtiwari ypg yourprophetisgay","hindus should think about if muslims should be allowed to live here or not.","[3, 3, 5]","[4, 4, 3]",4,4
"Melody you need potassium eat a banana you fucking nigger","Don't you think you need to eat a banana?","[2, 2, 3]","[1, 1, 1]",2,1
"Melody you need potassium eat a banana you fucking nigger","A banana is what you should eat.","[2, 1, 3]","[1, 1, 1]",2,1
"apparently some vile nigger animals kidnapped a white special needs teen and tortured and scalped him while shouting fuck white people fuck trump are you being armed and are you shooting in the head when these zombies approach","Does it make sense for people with guns to be shouting ""white people trump"" at zombies when they approach?","[2, 1, 1]","[5, 1, 1]",1,2
"apparently some vile nigger animals kidnapped a white special needs teen and tortured and scalped him while shouting fuck white people fuck trump are you being armed and are you shooting in the head when these zombies approach","Does it make sense for people with guns to be yelling ""white people trump"" at zombies when they approach?","[2, 1, 1]","[4, 1, 1]",1,2
"apparently some vile nigger animals kidnapped a white special needs teen and tortured and scalped him while shouting fuck white people fuck trump are you being armed and are you shooting in the head when these zombies approach","These zombies approach, are you shooting in the head if they approach you with a gun or are you shooting at them from a distance.","[2, 1, 1]","[2, 1, 1]",1,1
"Melody you need potassium eat a banana you fucking nigger","You need to eat a banana.","[2, 2, 4]","[1, 1, 1]",3,1
"Melody you need potassium eat a banana you fucking nigger","You need a banana.","[1, 2, 4]","[1, 1, 1]",2,1
"Melody you need potassium eat a banana you fucking nigger","You should eat a banana.","[1, 2, 4]","[1, 1, 1]",2,1
"Melody you need potassium eat a banana you fucking nigger","You need to eat a banana, that's all.","[1, 2, 4]","[1, 1, 1]",2,1
"Melody you need potassium eat a banana you fucking nigger","Eating a banana is what you need to.","[2, 2, 2]","[2, 1, 1]",2,1
"Melody you need potassium eat a banana you fucking nigger","You need to eat a banana, that's what you need.","[3, 2, 3]","[1, 1, 1]",3,1
"Melody you need potassium eat a banana you fucking nigger","The person says that they need to eat a banana.","[1, 1, 3]","[1, 1, 1]",2,1
"apparently some vile nigger animals kidnapped a white special needs teen and tortured and scalped him while shouting fuck white people fuck trump are you being armed and are you shooting in the head when these zombies approach","What if these zombies approach you and you're not shooting in the head but you're being armed?","[1, 2, 1]","[1, 2, 1]",1,1
"apparently some vile nigger animals kidnapped a white special needs teen and tortured and scalped him while shouting fuck white people fuck trump are you being armed and are you shooting in the head when these zombies approach","These zombies approach, are you shooting in the head if they approach you with a gun or are you shooting at them from a distance?","[1, 1, 1]","[1, 1, 1]",1,1
"apparently some vile nigger animals kidnapped a white special needs teen and tortured and scalped him while shouting fuck white people fuck trump are you being armed and are you shooting in the head when these zombies approach","These zombies approach, are you shooting in the head if they approach you with a gun or are you shooting at them?","[1, 1, 1]","[1, 1, 1]",1,1
