"source_text","target_text"
"that a retarded non argument the bible is also a best seller in communist china","It's a fact that the bible is the best seller in communist china."
"that a retarded non argument the bible is also a best seller in communist china","In communist China, the bible is a best seller."
"that a retarded non argument the bible is also a best seller in communist china","The bible is one of the best sellers in communist china, that is a non argument."
"that a retarded non argument the bible is also a best seller in communist china","The bible is one of the best sellers in communist china, that's right."
"that a retarded non argument the bible is also a best seller in communist china","In communist China, the bible is the best seller."
"that a retarded non argument the bible is also a best seller in communist china","In communist china, the bible is a best seller."
"that a retarded non argument the bible is also a best seller in communist china","That the bible is a best seller in communist china"
"that a retarded non argument the bible is also a best seller in communist china","The bible is one of the best sellers in communist china, that's a non argument"
"that a retarded non argument the bible is also a best seller in communist china","bible is the best seller in communist china"
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","You can make it a law if a black person gets pregnant in Africa."
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","Every time a black person gets pregnant in Africa, it makes it a law."
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","You can make it a law if a black person in Africa gets pregnant and then terminates it."
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","You can make it a law if a black person in Africa gets pregnant and then terminates the baby."
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","The law in Africa makes it a law every time a black person gets pregnant."
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","Every time a black person gets pregnant in Africa, it makes it a law that can last up to 626 years."
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","Every time a black person gets pregnant in Africa, it makes it a law that can last up to  626 years."
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","The law in Africa makes it a law every time a black person gets pregnant and has an abortion."
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","It is possible to make a law about it every time a black person in Africa gets pregnant."
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","It is possible to make a law about it every time a black person gets pregnant in Africa."
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","You can make it a law if a black person in Africa gets pregnant and then terminates the baby in the hospital."
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","You can make it a law if a black person in Africa gets pregnant and then terminates the baby in a hospital."
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","The law in Africa makes it a law every time a black person gets pregnant and has a baby."
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","For every time a black person in Africa gets pregnant, it makes it a law that can last up to  626 years."
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","For every time a black person in Africa gets pregnant, it makes it a law that can last up to    626 years."
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","For every time a black person in Africa gets pregnant, it makes it a law that can last up to  626 years"
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","People in Africa can get an abortion every now and then."
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","You can make it a law if a black person in Africa gets pregnant and then terminates the baby in the hospital.."
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","You can make it a law if a black person in Africa gets pregnant and then terminates the baby in a hospital.."
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","The law in Africa makes it a law every time a black person gets pregnant and has an abortion.."
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","Depending on the situation, you can be able to have an abortion every time a black person gets pregnant in Africa."
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","The law in Africa makes it a law every time a black person gets pregnant and has a baby.."
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","For every time a black person in Africa gets pregnant, it makes it a law that can last up to    626 years"
"nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend","Neither the father of the bride nor the father of the groom attended this wedding, as they are both bastard and halfbreed, and both are divorced from a catholic priest."
"nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend","Neither the father of the bride nor the father of the groom attended the wedding, as they are both bastard and halfbreed, and both are divorced from a catholic priest."
"nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend","Not a single one of the parents of the bride or of the groom attended the wedding."
"nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend","Not a single one of the fathers of the bride or of the groom attended the wedding."
"nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend","Not a single one of the parents of the bride or of the groom attended the wedding. The groom's father is a divorced catholic, and his mother is a halfbreed."
"nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend","She is halfbreed and his father was also divorced so it's no wonder that both of them didn't attend the wedding."
"nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend","One thing that stands out about this wedding is that both fathers of the bride and groom did not attend."
"nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend","One thing that stands out about this wedding is that both fathers of the bride and groom did not show up."
"nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend","She is halfbreed and his father was also divorced so it's no wonder that both of them didn't attend this wedding."
"what sort of white man or woman would vote for this nigger","What kind of white man or woman would vote for this person?"
"what sort of white man or woman would vote for this nigger","Would a white man or woman vote for a black person?"
"what sort of white man or woman would vote for this nigger","Do you know if a white man or woman would vote for a black person?"
"what sort of white man or woman would vote for this nigger","Would a white man or woman vote for a black person?."
"what sort of white man or woman would vote for this nigger","How much do you think a white man or woman would vote for a black man?"
"what sort of white man or woman would vote for this nigger","A white man or woman would cast a ballot to support a black person."
"what sort of white man or woman would vote for this nigger","A white man or woman would cast a ballot for a black person."
"what sort of white man or woman would vote for this nigger","A white man or woman would cast a ballot for a black person"
"diversity is a code word for white genocide immigrants contribute and integrate 3 rd world retards freeload and fornicate","Diversity is a code word for white genocide immigrants."
"diversity is a code word for white genocide immigrants contribute and integrate 3 rd world retards freeload and fornicate","White genocide immigrants contribute and integrate 3rd world retards and fornicate is a code word for diversity."
"diversity is a code word for white genocide immigrants contribute and integrate 3 rd world retards freeload and fornicate","For white genocide immigrants contribute and integrate 3rd world retards is a code word for diversity."
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for work."
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for a job."
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for a job like that."
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","A degree position he never earned is given to him by the school and he doesn't have iq for it."
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for a job like this."
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","His grades and degree position he never earned, he doesn't have iq for work."
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","A degree position he never earned is given to him by the school and he doesn't have iq for that."
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for a job like that.."
