"source_text","target_text"
"Women are made for making babies and cooking dinner and nothing else!!!","Nothing else is made for women to do except make babies and cook dinner."
"Women are made for making babies and cooking dinner and nothing else!!!","It's not unusual for women to be made for making babies and cooking dinner."
"Women are made for making babies and cooking dinner and nothing else!!!","Nothing else is made for women to do except cook dinner and make babies."
"Women are made for making babies and cooking dinner and nothing else!!!","Women can make babies and cook dinner, but not other things."
"Women are made for making babies and cooking dinner and nothing else!!!","People make women make babies, cook dinner and nothing else."
"Women are made for making babies and cooking dinner and nothing else!!!","Making babies and cooking dinner are the only things that women are made for in this world."
"Women are made for making babies and cooking dinner and nothing else!!!","Making babies and cooking dinner are the only things that women are made for in this world"
"Women are made for making babies and cooking dinner and nothing else!!!","Making babies and cooking dinner are the only things that women are made for in this world of."
"Women are made for making babies and cooking dinner and nothing else!!!","A woman isn't made for anything other than making babies and cooking dinner for them"
"Women are made for making babies and cooking dinner and nothing else!!!","People make women make babies and cook dinner for them."
"Women are made for making babies and cooking dinner and nothing else!!!","Nothing else is made for women to do except make babies and cook dinner. "
"Women are made for making babies and cooking dinner and nothing else!!!","People make women make babies, cook dinner and nothing else for them."
"Women are made for making babies and cooking dinner and nothing else!!!","Women can make babies and cook dinner, but not other things. The women are made for it"
"Women are made for making babies and cooking dinner and nothing else!!!","Women can make babies and cook dinner, but not other things.."
"Women are made for making babies and cooking dinner and nothing else!!!","Women can make babies and cook dinner, but not other things. The women are made for that"
"Women are made for making babies and cooking dinner and nothing else!!!","Women can make babies and cook dinner, but not other things. "
"Women are made for making babies and cooking dinner and nothing else!!!","When it comes to making babies and cooking dinner for people, women are made to do it"
"Women are made for making babies and cooking dinner and nothing else!!!","People make women make babies, cook dinner and nothing else for their own pleasure."
"why haven't you faggots taken the bi-pill yet","Why haven't you taken the pill yet?"
"why haven't you faggots taken the bi-pill yet","Why haven't you taken the bi pill?"
"why haven't you faggots taken the bi-pill yet","Have you taken the bi pill yet?"
"why haven't you faggots taken the bi-pill yet","Have you taken the bi pill?"
"why haven't you faggots taken the bi-pill yet","Is it possible that you haven't taken the bi pill yet?"
"why haven't you faggots taken the bi-pill yet","Did you not take the bi pill yet?"
"why haven't you faggots taken the bi-pill yet","Not taking the pill yet is why."
"why haven't you faggots taken the bi-pill yet","Is it possible that you haven't taken the bi pill yet?!"
"why haven't you faggots taken the bi-pill yet","Why haven't you taken the pill yet?."
"why haven't you faggots taken the bi-pill yet","Why haven't you taken the bi pill?."
"why haven't you faggots taken the bi-pill yet","Not taking the pill yet is why you haven't done so."
"why haven't you faggots taken the bi-pill yet","Not taking the pill yet is why you haven't done it."
"why haven't you faggots taken the bi-pill yet","Did you not take the bi pill?"
"why haven't you faggots taken the bi-pill yet","Did you not take the bi pill yet."
"why haven't you faggots taken the bi-pill yet","Is it possible that you haven't taken the bi pill yet? "
"why haven't you faggots taken the bi-pill yet","Why haven't you taken the pill yet?.."
"why haven't you faggots taken the bi-pill yet","Why haven't you taken the bi pill?.."
"why haven't you faggots taken the bi-pill yet","Did you not take the bi pill yet?."
"why haven't you faggots taken the bi-pill yet","Not taking the pill yet is why you haven't done it.."
"why haven't you faggots taken the bi-pill yet","Not taking the pill yet is why you haven't done so.."
"why haven't you faggots taken the bi-pill yet","It's been a while since you took the bi pill."
"why haven't you faggots taken the bi-pill yet","Did you not take the bi pill yet?,"
"why haven't you faggots taken the bi-pill yet","why didn't they take the bi pill yet?"
"Why don’t you go beck your god to murder you? Christianity is a joke","Is it not a joke that you don't murder your Christianity?"
"Why don’t you go beck your god to murder you? Christianity is a joke","Is it not a joke that you don't murder your god to be a Christian?"
"Why don’t you go beck your god to murder you? Christianity is a joke","To murder Christianity is not a joke."
"Why don’t you go beck your god to murder you? Christianity is a joke","Don't you think it is a joke that you don't murder Christianity?"
"Why don’t you go beck your god to murder you? Christianity is a joke","Is it not a joke that you don't murder your god to be a Christian."
"Why don’t you go beck your god to murder you? Christianity is a joke","Don't you think it is a joke that you don't murder your god for Christianity?"
"Why don’t you go beck your god to murder you? Christianity is a joke","Is it not a joke that you don't murder your god to be a Christian?."
"Why does Bulgaria exist as a country? It's one of those homosexual ones.","It is one of those countries that is gay."
"Why does Bulgaria exist as a country? It's one of those homosexual ones.","Why does Bulgaria exist?"
"Why does Bulgaria exist as a country? It's one of those homosexual ones.","Why does Bulgaria have a country?"
"Why does Bulgaria exist as a country? It's one of those homosexual ones.","Some people think that it's because it's one of those gay countries"
"Why does Bulgaria exist as a country? It's one of those homosexual ones.","Some people think that it's because it's one of those gay countries."
"Why does Bulgaria exist as a country? It's one of those homosexual ones.","A question about why Bulgaria exists as a country is: homosexual or not?"
"Why does Bulgaria exist as a country? It's one of those homosexual ones.","A question about why Bulgaria exists as a country is: homosexual ones?"
"Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.","A group of people think that negroes tear down their own neighborhoods when a black person is killed by law enforcement"
"Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.","People think that when a black person is killed by law enforcement, they tear down their own neighborhoods."
"Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.","Some people believe that black people are more likely to be killed by law enforcement than other people."
"Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.","People think that when a black person is killed by law enforcement, they tear down their own neighborhood."
"Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.","Some people believe that black people are more likely to be killed by law enforcement than whites."
"Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.","It is thought by some that black people tear down their own neighborhoods when they are killed by the police."
"Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.","Some people believe that black people are more likely to be killed by law enforcement than other people in the area."
"Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.","It is thought by some that black people tear down their own neighborhoods when they are killed by the law enforcement."
"Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.","Some people believe that black people are more likely to be killed by law enforcement than other people in the same area."
"Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.","Negative feelings about black people being killed by police are what some people think."
"who gives aa fuck about shit diamonds from the jews fuck them both","What about diamonds from the jews?"
"who gives aa fuck about shit diamonds from the jews fuck them both","The diamonds from the jews are a topic of discussion."
"who gives aa fuck about shit diamonds from the jews fuck them both","Diamonds from the jews are a topic of discussion."
"who gives aa fuck about shit diamonds from the jews fuck them both","Is it possible that both of them have diamonds from the jews?"
"who gives aa fuck about shit diamonds from the jews fuck them both","Both the jews and Diamonds from the jews, who gives afcking about them?"
"who gives aa fuck about shit diamonds from the jews fuck them both","What about diamonds from the jews and what about them?"
"who gives aa fuck about shit diamonds from the jews fuck them both","What about diamonds from the jews and what about them both?"
"who gives aa fuck about shit diamonds from the jews fuck them both","It's not a good thing that diamonds from the jews are also good things."
"who gives aa fuck about shit diamonds from the jews fuck them both","Is it possible that both of them are related to diamonds from the jews?"
"who gives aa fuck about shit diamonds from the jews fuck them both","Are you talking about diamonds from jews or them?"
"who gives aa fuck about shit diamonds from the jews fuck them both","Are you talking about diamonds from jews or not?"
"who gives aa fuck about shit diamonds from the jews fuck them both","Is it possible that both of them are related to diamonds from the jews."
"who gives aa fuck about shit diamonds from the jews fuck them both","Are you talking about diamonds from jews or them? Is that true?"
"who gives aa fuck about shit diamonds from the jews fuck them both","Are you talking about diamonds from jews or them? Is that something you want to say"
"Who do you think you are cunt? wtf! Stay steady to aim for head little christian rat","Are you staying steady to aim for the little rat?"
"Who do you think you are cunt? wtf! Stay steady to aim for head little christian rat","Are you staying steady to aim for little Christian rat?."
"Who do you think you are cunt? wtf! Stay steady to aim for head little christian rat","Are you staying steady to aim for the little rat?."
"Who do you think you are cunt? wtf! Stay steady to aim for head little christian rat","How about the little christian rat?"
"Who do you think you are cunt? wtf! Stay steady to aim for head little christian rat","Stay steady and aim at the little Christian rat."
"Who do you think you are cunt? wtf! Stay steady to aim for head little christian rat","Do you think that you are steady to aim for the little rat?"
"Who do you think you are cunt? wtf! Stay steady to aim for head little christian rat","Do you believe that you are steady to aim for the little rat?"
"Who do you think you are cunt? wtf! Stay steady to aim for head little christian rat","Stay steady and aim for the little Christian rat."
"Who do you think you are cunt? wtf! Stay steady to aim for head little christian rat","Are you staying steady to aim for the little rat?.."
"Who do you think you are cunt? wtf! Stay steady to aim for head little christian rat","Stay steady and aim at the little Christian rat.."
"Who do you think you are cunt? wtf! Stay steady to aim for head little christian rat","Stay steady and aim for the little Christian rat.."
"Who do you think you are cunt? wtf! Stay steady to aim for head little christian rat","We need to know who is staying steady and aiming for a small Christian rat."
"Who do you think you are cunt? wtf! Stay steady to aim for head little christian rat","We need to know who is staying steady and aiming for the little Christian rat."
"white people are shit human beings","The white people are not beings."
"white people are shit human beings","The white people are not beings like other beings."
"white people are shit human beings","White people are not being made to be like that by others."
"white people are shit human beings","The white people are not beings like other beings"
"white people are shit human beings","The white people are not beings like other people"
"white people are shit human beings","A person is a human being if white people are included."
"What about a global massacre of men? Pussiezzz only girls","What about a global massacre of men?"
"What about a global massacre of men? Pussiezzz only girls","Is there a global massacre of men and only girls?"
"What about a global massacre of men? Pussiezzz only girls","Is it possible for a global massacre of men and girls?"
"What about a global massacre of men? Pussiezzz only girls","Is it possible for a global massacre of men and girls."
"What about a global massacre of men? Pussiezzz only girls","There is a global massacre of men and only girls, what about that?"
"What about a global massacre of men? Pussiezzz only girls","There is a global massacre of men and only girls, what about it?"
"What about a global massacre of men? Pussiezzz only girls","It's about a global massacre of men and only girls."
"What about a global massacre of men? Pussiezzz only girls","A massacre of men and girls?"
"What about a global massacre of men? Pussiezzz only girls","Is it possible for a global massacre of men and girls?."
"What about a global massacre of men? Pussiezzz only girls","It's about a global massacre of men and only women."
"What about a global massacre of men? Pussiezzz only girls","A global massacre of men and only girls?, what about that?"
"What about a global massacre of men? Pussiezzz only girls","The world needs to be saved from a global massacre of men and girls."
"What about a global massacre of men? Pussiezzz only girls","A global massacre of men and only girls?, what about it?"
"What about a global massacre of men? Pussiezzz only girls","Is it possible for a global massacre of men and girls? "
"What about a global massacre of men? Pussiezzz only girls","Is it possible for a global massacre of men and girls?."
"What about a global massacre of men? Pussiezzz only girls","A massacre of men and girls? What about that?"
"What about a global massacre of men? Pussiezzz only girls","A global massacre of men and only girls?, what about that?."
"What about a global massacre of men? Pussiezzz only girls","A massacre of men and girls? Is that something?"
"What about a global massacre of men? Pussiezzz only girls","A global massacre of men and only girls?, what about that?,"
"What about a global massacre of men? Pussiezzz only girls","It's about a global massacre of men and only girls.."
"What about a global massacre of men? Pussiezzz only girls","Men and girls massacred around the world."
"What about a global massacre of men? Pussiezzz only girls","Men and girls massacred around the globe."
"What about a global massacre of men? Pussiezzz only girls","It's about a global massacre of men and only girls.,"
"What about a global massacre of men? Pussiezzz only girls","Who wants to see a global massacre of men?"
"what a disgusting man and disgusting religion. He admits that muslim buy all their wifes ! .pff...This is why all muslims are poor...islam keeps them stupid !","He admits that muslims buy all their wives and keep them poor."
"what a disgusting man and disgusting religion. He admits that muslim buy all their wifes ! .pff...This is why all muslims are poor...islam keeps them stupid !","He admits that muslims buy all their wives and keep them poor, this is why they are poor."
"what a disgusting man and disgusting religion. He admits that muslim buy all their wifes ! .pff...This is why all muslims are poor...islam keeps them stupid !","I don't understand why a man would admit that muslims buy all their wives pff"
"what a disgusting man and disgusting religion. He admits that muslim buy all their wifes ! .pff...This is why all muslims are poor...islam keeps them stupid !","He admits that muslims buy all their wives and keep them poor, this is why they are poor"
"what a disgusting man and disgusting religion. He admits that muslim buy all their wifes ! .pff...This is why all muslims are poor...islam keeps them stupid !","Muslim buy all their wives pff, this is why they are poor, and he admits it."
"what a disgusting man and disgusting religion. He admits that muslim buy all their wifes ! .pff...This is why all muslims are poor...islam keeps them stupid !","I don't understand why a man would admit that muslims buy all their wives pff."
"what a disgusting man and disgusting religion. He admits that muslim buy all their wifes ! .pff...This is why all muslims are poor...islam keeps them stupid !","Muslim buy all their wives pff, this is why they are poor, and he admits that."
"what a disgusting man and disgusting religion. He admits that muslim buy all their wifes ! .pff...This is why all muslims are poor...islam keeps them stupid !","If you look at the man's religion, he admits that muslim buy all their wifes"
"what a disgusting man and disgusting religion. He admits that muslim buy all their wifes ! .pff...This is why all muslims are poor...islam keeps them stupid !","In his book, he admits that the religion of Islam keeps poor muslims from buying their wives pff"
"well it's clear now why europeans can't differ niggers and shitskins from human","It is clear that europeans can not differ from human in any way."
"well it's clear now why europeans can't differ niggers and shitskins from human","It is clear that europeans can't differ from human in any way."
"well it's clear now why europeans can't differ niggers and shitskins from human","Now that it is clear, why can't europeans differ from human?"
"well it's clear now why europeans can't differ niggers and shitskins from human","Europeans can not differ from human in terms of race or skin color."
"well it's clear now why europeans can't differ niggers and shitskins from human","Now that it is clear, why can't europeans differ from humans?"
"well it's clear now why europeans can't differ niggers and shitskins from human","Europeans can't differ from human in terms of race or skin color."
"well it's clear now why europeans can't differ niggers and shitskins from human","The reason europeans can't differ from human is clear."
"well it's clear now why europeans can't differ niggers and shitskins from human","The reason europeans can not differ from human is clear."
"well it's clear now why europeans can't differ niggers and shitskins from human","It is clear that europeans can't differ from human in any way, shape or form."
"well it's clear now why europeans can't differ niggers and shitskins from human","The reason europeans can't differ from human is clear now."
"well it's clear now why europeans can't differ niggers and shitskins from human","It is clear that europeans can't differ from human in any way, because of their race."
"well it's clear now why europeans can't differ niggers and shitskins from human","Europeans can't differ from human in terms of race or skin color because they are all European."
"well it's clear now why europeans can't differ niggers and shitskins from human","Europeans can't differ from human in terms of race or skin color because they are all Europeans."
"well it's clear now why europeans can't differ niggers and shitskins from human","Now that it is clear, why can't europeans differ from human?."
"well it's clear now why europeans can't differ niggers and shitskins from human","Now that it is clear, why can't europeans differ from humans?."
"well it's clear now why europeans can't differ niggers and shitskins from human","Well, now it is clear that europeans can not be compared to a human in any way."
"well it's clear now why europeans can't differ niggers and shitskins from human","A clear explanation has been given as to why europeans can not differ from human"
"well it's clear now why europeans can't differ niggers and shitskins from human","Its clear why Europeans can not have different skin colors than humans."
"well it's clear now why europeans can't differ niggers and shitskins from human","Europe does not differ from human in terms of race or skin color."
"well it's clear now why europeans can't differ niggers and shitskins from human","A clear explanation has been given as to why europeans can not differ from a human's skin complexion"
"well it's clear now why europeans can't differ niggers and shitskins from human","Europe does not differ from human in terms of race."
"well it's clear now why europeans can't differ niggers and shitskins from human","Now that it is clear, why can't europeans differ from human?.."
"well it's clear now why europeans can't differ niggers and shitskins from human","Europe does not differ from human in any way."
"well it's clear now why europeans can't differ niggers and shitskins from human","Europe does not differ from human in terms of race or skin color"
"well it's clear now why europeans can't differ niggers and shitskins from human","Now that it is clear, why can't europeans differ from humans?.."
"well it's clear now why europeans can't differ niggers and shitskins from human","Europe does not differ from human in terms of race or skin color?"
"we take everyone, sudanese niggers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like niggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes.","Since they cost too much and are arrogant backst we take everyone from them."
"WE NEED THE NAZI PARTY TO RETURN.....GET ANOTHER HITLER...AND FORM THE SS....AND START AN ETHNIC CLEANSING OF ALL MUSLIMS...YES YES..GATHER THEM UP...PUT THEM IN A CONCENTRATION CAMP...THEN PUT THESE MUSLIM REFUGEES ON A SHIP AND SEND THEM ALL BACK TO THIER OWN COUNTRIES ....AND THEY CAN DO AS THEY WANT THERE...LIVE THIER WAYS AND BY THIER RIDICULOUS LAWS.... THEY DON√¢¬Ä¬ôT ASSIMILATE TO THE NEW WESTERN COUNTRIES..AND TRY TO DICTATE TO US WHAT TO DO AND TO EVEN REMOVE JESUS FROM SCHOOLS AND OTHER PUBLIC AREAS...ARE YOU FUCKING SERIOUS...FUCK OFF YOU DIRTY SMELLING MUSLIMS... STOP DICTATING WHAT WE CAN OR CANT DO IN OUR OWN COUNTRIES...√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬° PEOPLE POWER MUST RISE AND SAY ENOUGH IS ENOUGH...TAKE SWEDEN BACK FOR SWEDES...TAKE GREECE BACK FOR GREEKS..TAKE GERMANY BACK..TAKE POLAND BACK..TAKE DENMARK BACK...SAVE OUR COUNTRIES....AND TAKE EUROPE BACK. INTRODUCE AN...SS...STYLE POLICE...AND CLEAN UP THESE STREETS AND GHETTOS....FULL OF DIRTY MUSLIMS...ITS THE GOVERNMENTS FAULT FOR ALLOWING THS SHIT TO HAPPEN....SEND THE MILITARY IN..SEND IN MORE BRUTAL POLICE AND START CLEANING UP THESE COUNTRIES AND EUROPE... MUSLIMS ARE INVADING EUROPE AND WE ARE ALLOWING THIS TO HAPPEN. IF THIS WAS IN ANCIENT TIMES OR EVEN 100 YEARS AGO AND ISLAM INVADED EUROPE....IT WOULD BE AN ALL OUT WAR. BRING BACK THE CRUSADERS AND AN ...√¢¬Ä¬ò SS √¢¬Ä¬ò...STYLE NAZI POLICE.  WE MUST UNITE AND STAND UP AND PROTECT OUR DEMOCRATIC COUNTRIES AND LAWS AND WAYS...AND ELIMINATE ISLAM AND THROW THESE DIRTY  SMELLING MUSLIM...ANIMALS OUT AND SEND THEM BACK TO THEIR OWN COUNTRIES AND THEY CAN LIVE AS THEY WISH..THEY CAN FUCK THEIR GOATS AND RAPE THEIR OWN WOMEN..  FUCKING DISGUSTING MUSLIMS...LOW LIFE DIRTY RACE...AND ISLAM IS NIT GODS RELIGION...ITS A CULT..ITS A RIDICULOUS UNETHICAL AND IMORAL CULT..! √∞¬ü¬ò¬à√∞¬ü¬ò¬à ...ITS SATINS WORK..SATINS PREACHINGS.   GOD..THE CREATOR OF THE UNIVERSE....DOES NOT PREACH TO KILL INFIDELS AND KILL NON BELIEVERS... AND TO HAVE 3...4...5 WIVES AND COMMIT PEDOPHILIA..AND MARRY 9 YEAR OLD LITTLE GIRLS..!  MUSLIMS....WHO HAVE NEVER CONTRIBUTED TO HUMANITY....NEVER INVENTED ANYTHING ....NOTHING POSITIVE COMES FROM ISLAM...THEY CREATED NOTHING..INVENTED NOTHING...CONTRIBUTED NOTHING TO THE HUMAN RACE.... MUSLIMS, JUST LIVE IN OUR WESTERN DEMOCRATIC COUNTRIES...ENJOY OUR WAYS ..MILK THE WELFARE SYSTEM...AND RUIN THESE COUNTRIES...CREATE PROBLEMS...FIGHT...STEAL AND CREATE CRIME...SCARE PEOPLE...TR6 TO CHAGE OUR WESTERN WAY OF LIFE AND EVEN RAPE OUR WOMEN..  FUCK THESE COCKSUCKERS...BURN THEM ALL...IMPALE THEM...WE MUST FIGHT BACK AND UNITE AND CLEAN EUROPE UP AGAIN. SOON GOD WILL SEND HIS TRUE MESSENGER....TO PLANET EARTH √∞¬ü¬å¬è...GOD WILL SEND A CLEAR MESSAGE ...TO HUMANITY AND THE MUSLIM PEOPLE ...WILL FEEL THE WRATH OF GOD AND SUFFER THE CONSEQUENCES....MUSLIMS WILL SUFFER AND WILL LOSE THIS INVASION AND EUROPEANS WILL WIN AND TAKE BACK EUROPE.. This is the beginning of the new CRUSADES...Christianity vs Islam...the crusaders against Islam and we need to fight and protect our way of life and Democratic society..√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√∞¬ü¬ó¬°√∞¬ü¬ó¬°√∞¬ü¬ó¬°√∞¬ü¬ó¬°","We need the NAZI party to return another hitler and form the SS so that we can clean up the mess."
